Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.027489	-0.524405	-0.291156	-0.397792	-0.000624
-0.040642	-0.554022	-0.426946	-0.532682	-0.000559
-0.031497	-0.515096	-0.380514	-0.463414	-0.000525
-0.027446	-0.570946	-0.348976	-0.467060	-0.000546
-0.037530	-0.480402	-0.384019	-0.437895	-0.000503
-0.031710	-0.455862	-0.249105	-0.316676	-0.000603
-0.031838	-0.471093	-0.357737	-0.478909	-0.000461
-0.039491	-0.559946	-0.349852	-0.481643	-0.000585
-0.015891	-0.669107	-0.498783	-0.599216	-0.000480
-0.031134	-0.522712	-0.383143	-0.447009	-0.000563
-0.036869	-0.448246	-0.263122	-0.420578	-0.000474
-0.038980	-0.430475	-0.268378	-0.215509	-0.000653
-0.030644	-0.625104	-0.483890	-0.462503	-0.000547
-0.038319	-0.553176	-0.367373	-0.341285	-0.000519
-0.033287	-0.483787	-0.419937	-0.407818	-0.000585
-0.032797	-0.566715	-0.357737	-0.386855	-0.000584
-0.037722	-0.663183	-0.410300	-0.417844	-0.000626
-0.035718	-0.466862	-0.306925	-0.521745	-0.000501
-0.032136	-0.556561	-0.281519	-0.296625	-0.000518
-0.034929	-0.477017	-0.360365	-0.412375	-0.000504
-0.033160	-0.459247	-0.281519	-0.395058	-0.000549
-0.035249	-0.590409	-0.324446	-0.439718	-0.000419
-0.034396	-0.440630	-0.396283	-0.487111	-0.000465
-0.030836	-0.554868	-0.287652	-0.397792	-0.000565
-0.033735	-0.565023	-0.327075	-0.408729	-0.000567
-0.032776	-0.468555	-0.326199	-0.356779	-0.000606
-0.031283	-0.498172	-0.359489	-0.379564	-0.000552
-0.033032	-0.598871	-0.311305	-0.429692	-0.000605
-0.027787	-0.410166	-0.269255	-0.273840	-0.000531
-0.031433	-0.449092	-0.268378	-0.387767	-0.000622
-0.032435	-0.607333	-0.376134	-0.415109	-0.000599
-0.027041	-0.427937	-0.235964	-0.328525	-0.000524
-0.032349	-0.475325	-0.277139	-0.332170	-0.000574
-0.034012	-0.551483	-0.296412	-0.374096	-0.000496
-0.029301	-0.509173	-0.359489	-0.404172	-0.000533
-0.032754	-0.399166	-0.273635	-0.457035	-0.000539
-0.033096	-0.422013	-0.330579	-0.302094	-0.000641
-0.027638	-0.506634	-0.252609	-0.349487	-0.000503
-0.032861	-0.427937	-0.249105	-0.483466	-0.000505
-0.037530	-0.575177	-0.419061	-0.514454	-0.000485
